name,lat,lon,nearby_count_300m,avg_distance_300m,cluster
Национален археологически музей,42.69647,23.32459,5,185.44003864751932,0
Национална галерия (Квадрат 500),42.69633,23.33422,5,224.5034240533113,0
Национален етнографски музей,42.69631,23.32707,7,209.86722659995783,0
Национален природонаучен музей,42.69578,23.32841,4,162.39853824427865,0
Софийска градска художествена галерия,42.69466,23.32431,7,201.7274358064884,0
Галерия Средец,42.69692,23.32,1,183.94107126760855,0
Галерия Академия,42.69497,23.33396,3,176.81779723803575,0
Галерия Райко Алексиев,42.69412,23.32863,4,193.52200078321667,0
Галерия Nuance,42.69378,23.32188,3,220.80037149790726,0
Галерия Аросита,42.69764,23.33168,2,157.33310386863374,0
Галерия Сердика,42.70293,23.31995,0,0.0,0
Галерия Лик,42.69136,23.31144,1,255.73050500898032,0
Галерия КО-ОП,42.70349,23.30077,0,0.0,0
Галерия Contrast,42.69445,23.31677,3,46.668905841128264,0
Галерия Intro,42.69371,23.31676,3,66.96025453754942,0
nOva Art Space,42.69607,23.32429,5,173.573464348827,0
Галерия Astry,42.69413,23.31688,3,35.92121348964023,0
Галерия Doza,42.69779,23.31809,1,183.94107126760855,0
Little Bird Place,42.6981,23.33208,2,162.08212059101876,0
Галерия Нирвана,42.69182,23.32225,2,178.16627841661202,0
Галерия Минерва,42.69421,23.32451,6,200.83883571946868,0
Галерия Etud,42.68191,23.33199,0,0.0,0
Галерия Credo Bonum,42.69405,23.32733,6,203.56809170565305,0
VIVACOM Art Hall,42.6957,23.33618,3,183.7481237963453,0
Галерия Алма Матер,42.69413,23.33582,3,210.9776028007334,0
Галерия Арте,42.68942,23.31312,1,255.73050500898032,0
Галерия Ракурси,42.69137,23.3238,1,136.50154689098792,0
Галерия Васка Емануилова,42.69846,23.34166,0,0.0,0
One Gallery,42.69548,23.3269,8,188.2755482829249,0
Галерия Графично,42.69433,23.31697,3,38.50869604775768,0
